Título;Género;Calificación;Visto
El Padrino;Crimen;5;False
Ciudadano Kane;Drama;4,5;False
Casablanca;Romance;4,8;False
El Mago de Oz;Fantasía;4,9;False
Lo que el viento se llevó;Drama;4,3;False
La lista de Schindler;Drama;5;False
Pulp Fiction;Crimen;4,7;False
El club de la lucha;Drama;4,4;False
El caballero oscuro;Acción;4,8;False
El origen;Ciencia ficción;4,9;False
El silencio de los corderos;Thriller;4,7;False
Forrest Gump;Drama;4,6;False
Cadena perpetua;Drama;4,9;False
El bueno, el malo y el feo;Western;4,8;False
12 hombres en pugna;Drama;4,9;False
La vida es bella;Drama;4,7;False
El viaje de Chihiro;Animación;4,9;False
Parásitos;Thriller;4,8;False
Interestelar;Ciencia ficción;4,9;False
El señor de los anillos: La comunidad del anillo;Fantasía;4,8;False
Volver al futuro;Ciencia ficción;4,7;False
Indiana Jones y los cazadores del arca perdida;Aventura;4,8;False
E.T., el extraterrestre;Ciencia ficción;4,9;False
Tiburón;Thriller;4,8;False
Star Wars: Episodio IV - Una nueva esperanza;Ciencia ficción;4,9;False
El padrino: Parte II;Crimen;5;False
El Imperio contraataca;Ciencia ficción;4,8;False
El rey león;Animación;4,9;False
Toy Story;Animación;4,7;False
Avatar;Ciencia ficción;4,6;False
Titanic;Romance;4,5;False
El resplandor;Terror;4,8;False
Psicosis;Thriller;4,9;False
El gran Lebowski;Comedia;4,4;False
Blade Runner;Ciencia ficción;4,7;False
Alien, el octavo pasajero;Terror;4,8;False
La naranja mecánica;Drama;4,3;False
Taxi Driver;Drama;4,9;False
El séptimo sello;Drama;4,2;False
Rashomon;Crimen;4,4;False
Siete samuráis;Aventura;4,8;False
La ventana indiscreta;Thriller;4,9;False
Vértigo;Thriller;4,8;False
Con la muerte en los talones;Thriller;4,7;False
El apartamento;Comedia;4,6;False
Lawrence de Arabia;Aventura;4,9;False
2001: Odisea del espacio;Ciencia ficción;4,8;False
Apocalypse Now;Guerra;4,7;False
Cinema Paradiso;Drama;4,9;False
La milla verde;Drama;4,8;False
